a_uuid,website,category,name,latitude,longitude
7afedf50-de08-43d6-9f53-91c0259a8c1d,mfbc-sc.org,Religious organizations,MARIETTA FIRST BAPTIST CHURCH DC INC,35.02095,-82.50151
ccc21eca-ed9a-49ac-9483-40cbeb70d0cd,firstbaptistdawsonville.com,Religious organizations,FIRST BAPTIST CHURCH OF DAWSONVILLE,34.453661,-84.155043
fb7f3f80-c443-46ac-b1cd-6a40f479b368,templebaptist.church,Religious organizations,"TEMPLE BAPTIST CHURCH OF DALTON, INC",34.801861,-84.989796
71a42b71-1103-4ed5-9dc5-c6a13a0fc2c9,cbaptist.com,Religious organizations,CRESCENTVILLE BAPTIST CHURCH,40.001811,-75.11787
4526cb53-fd33-465a-8cbc-1b1569773b64,fbccov.org,Religious organizations,FIRST BAPTIST CHURCH OF COVINGTON,30.45886,-90.156595
4ddea791-3b52-4b19-bdf6-569413685225,wcb.church,Religious organizations,WOOD COUNTY BAPTIST CHURCH,41.376449,-83.613714
07263c51-3179-4f22-8d05-97021f59a5fd,fairviewlindale.com,Religious organizations,FAIRVIEW BAPTIST CHURCH FLOYD COUNTY,34.152211,-85.220364
b0c1942c-c201-4a47-acac-f7366416d5d7,cornerstonehaskell.com,Religious organizations,CORNERSTONE FELLOWSHIP BAPTIST CHURCH,33.207016,-99.717417
a78bf1e4-9845-4748-9896-ee6effbfee6f,newbirth.org,Religious organizations,NEW BIRTH MISSIONARY BAPTIST CHURCH,44.951483,-93.090649
a6457eb3-903a-481b-9fe5-ded423011a59,bbcspanishfort.com,Religious organizations,SPANISH FORT BIBLE BAPTIST,30.737792,-87.900287
6120f0ab-32bd-4a5b-9f8e-f705de2fe163,bereannow.org,Religious organizations,BEREAN BAPTIST CHURCH INC,44.984577,-93.269097
f1daa1b7-4484-40f0-b9c4-3b6e8c22bc4b,bayoubaptist.com,Religious organizations,BAYOU DRIVE BAPTIST CHURCH,29.380858,-95.241857
246be688-edb6-44bb-9299-3d1797f6b547,belfaircommunitychurch.org,Religious organizations,BELFAIR COMMUNITY BAPTIST CHURCH,47.432465,-122.928877
8b6b63f6-529a-4ffa-8a64-131b76aa2a59,firstbaptistgray.org,Religious organizations,FIRST BAPRTIST CHURCH OF GRAY,32.991607,-83.567362
9f2d2543-bab7-48ad-a2c8-f2fb6a5d419e,adventmoravianbethlehem.org,Religious organizations,ADVENT MORAVIAN CHURCH,40.58883,-75.351958
11e6c29c-52f9-40bb-b73a-1d2a9f66fcda,adventyork.org,Religious organizations,"ADVENT LUTHERAN CHURCH OF YORK, PENNSYLVANIA",39.962998,-76.727139
71af99d1-07af-4426-b6f1-c5e224efd92a,mtcarmelindy.org,Religious organizations,MOUNT CARMEL BAPTIST CHURCH,39.775092,-86.13216
