name,latitude,longitude
FOMENTO INDUSTRIAL,18.316976,-66.415207
PACBLU,20.888085,-156.503002
CVS HEALTH,25.779298,-80.198739
"CRITICAL CONCEPTS TM, INC",26.10894,-80.13686
AUTONATION INC,26.120025,-80.144191
DRURY INN & SUITES SAN ANTONIO RIVERWALK,26.199988,-98.214183
LISA A GORENA,26.215816,-98.224203
"LACK'S VALLEY STORES, LTD.",26.229947,-98.226305
"UBEO, LLC",26.231656,-98.198396
"WEST VIRGINIA RADIATION THERAPY SERVICES, INC.",26.59613,-81.866265
"BIG VIEW, LLC",27.262375,-82.396812
BURKES OUTLET STORES LLC,27.464367,-82.541047
BURKES OUTLET,27.486394,-82.556662
"JUVI, INC.",27.563265,-99.455712
WS BADCOCK CORPORATION,27.89589,-81.97491
GOLDING ENTERPRISES INC,27.927153,-97.132985
CHOICE EMPLOYER SOLUTIONS,27.944136,-82.35559
"ION HEALTHCARE SOLUTIONS, INC",27.947384,-82.446901
"KEENEY MANAGEMENT, INC.",28.290668,-82.628409
Le Corp.,28.309342,-81.550077
Todd Barnum,28.458661,-96.892788
EVERYTHING BUT WATER,28.486531,-81.436537
"Jamsant, Inc.",28.857047,-81.944216
LAKELINE MALL,29.010253,-95.420453
"PAPER PUSHERS OF DAYTONA, INC.",29.13926,-81.00909
DODALI INC.,29.154083,-98.40901
"TALA, INC.",29.270103,-98.732404
A & A TIRE SHOP,29.301277,-94.780816
CASEY RYAN HARPER,29.349842,-98.126939
"UNITED PF JLM, LLC",29.402532,-95.020769
GROWTH FORMULA,29.424324,-95.37096
Curtis Ray Freeman,29.509589,-90.335128
"SEABREEZE EQUITIES, LLC",29.514428,-95.0504
BARLOWE VENTURES LLC,29.527134,-98.70675
"PENTACLE INVESTMENTS, INC.",29.551146,-98.405065
ALAMO GROUP MANAGEMENT INC.,29.571972,-97.936657
MSP ALAMO ENTERPRISES LLC,29.589882,-98.476971
JETSTREAM COMMUNITIES LLC,29.590228,-95.172938
"Orlando Bathing Suit, LLC",29.593404,-98.618436
"MSP ALAMO ENTERPRISES, LLC",29.603788,-98.529828
UNIVERSAL WEATHER AND AVIATION INC,29.656732,-95.259147
Daniel J. Laburda,29.695246,-95.46328
DERMATOLOGY ASSOCIATES OF CENTRAL TX,29.7233,-95.388443
AMPOL US MANAGEMENT SERVICES LLC,29.732128,-95.428508
SINOPEC AMERICA INC,29.73347,-95.46318
PREFERRED SPA PARTNERS LLC,29.736457,-95.469324
JOINER HOLDINGS LLC,29.736693,-95.438723
DRINK FUZZ LLC,29.74382,-95.389952
ENGIE NORTH AMERICA INC,29.751347,-95.461063
"CENTERPOINT ENERGY SERVICE COMPANY, LLC",29.757152,-95.367984
HMS HEALTHCARE,29.773736,-95.795661
413 DEVELOPMENTS LLC,29.779032,-95.561127
"DSW INNS, LLC",29.786192,-95.644151
BIG TEX BINGO,29.798829,-95.442193
ODYSSEUS HOLDINGS LLC,29.801362,-95.570518
HOUSTON TEXANS,29.813142,-95.309789
DFMMJ INVESTMENTS LLC,29.837951,-82.273726
MCDONALD'S,29.901062,-95.551515
CARI R SEPULVEDA,29.909207,-95.5842
"SRG DEVELOPMENT HOLDINGS, LLC",29.91239,-95.538392
"STEINHAGEN OIL COMPANY, INC.",29.925061,-93.946044
GEOMETRICA INC,29.957305,-95.670488
NEXUS CAPITAL INVESTMENT ENTERPRISES INC.,29.977493,-95.460615
McDonald's,29.993601,-95.630835
BAYBROOK MALL,30.00792,-95.268962
MKR PRODUCTS US INC,30.016293,-95.54814
Gregory Byers,30.07076,-99.33782
"DJW, LLC",30.079959,-94.799206
HEALTH SERVICES MANAGEMENT OF TEXAS,30.084033,-95.623657
"SPRING CREEK FOREST PRODUCTS, INC.",30.109573,-95.516816
AMUSEMENT TECH.INC,30.192905,-93.895336
BROOKSHIRE BROTHERS,30.212332,-95.751844
DANIEL P WALKER MD,30.239871,-97.788197
"Williams Country Club Golf Management, Llc",30.245715,-81.546399
ACCITE HOLDINGS LLC,30.265731,-97.746563
LIBERTY MUTUAL INSURANCE CO,30.269004,-97.740395
WHOLE FOODS MARKET SOUTHWEST REGION,30.276106,-97.751155
SAMUEL B MILLER MD,30.286339,-97.741684
"YELLOW ROSE PARTNERS, LLC",30.339722,-97.755958
WEILAN Z JOHNSON MD,30.364587,-97.836441
"Samuel Judson Merrill, Jr.",30.367979,-97.991679
AMTEC MEDICAL INC,30.384849,-97.938316
THREE REAL KEEPS LLC,30.390663,-97.672208
SONIC HEALTHCARE USA,30.393878,-97.752394
HOWARD KENNETH STEINMAN MD,30.412391,-97.748713
A TOUCH OF EBONY SOUL LLC,30.430462,-97.634537
ENGEL MANAGEMENT SERVICES,30.442202,-97.62333
TWENTY19 LLC,30.48271,-97.775815
ESSENTIUM INC,30.58227,-96.392173
AUSTIN DEVELOPMENT GROUP LLC,30.673948,-97.932376
"GRANARY HOLDINGS, LLC",30.718815,-97.445814
GRANARY HOLDINGS LLC,30.822433,-97.604982
ARBORGEN,30.945559,-94.136025
Frank E. Witman Jr,31.029078,-93.222662
RGARNER ENTERPRISES,31.078077,-97.780166
CHANNEL CONTROL MERCHANTS LLC,31.370137,-89.355561
"NATIONAL MEMORIAL PLANNING AGENCY, INC.",31.501643,-100.461971
"ESSENTIUM, INC.",31.540585,-97.150492
"Fischbone Industries, LLC",31.643557,-85.404255
Transactions+,31.835283,-106.541143
KENT KWIK 303,31.841648,-102.495278
KENT KWIK 302,31.864781,-102.346222
KENT KWIK 319,31.898385,-102.317874
JACK'S CONVENIENCE STORES,32.02403,-102.082793
THE GRAND LODGE OF THE INDEPENDENT ORDER OF ODD FE,32.068634,-96.500303
DAWN D WELLS,32.084002,-96.501412
George Robinson,32.133542,-80.794831
WIGTON & CO. LLC,32.261279,-80.915794
"NOLTEX TRUSS SA, LLC",32.279571,-97.19057
Carlos Aneiros,32.289656,-90.184201
DEANTRE TREVELL SQUARE,32.384993,-96.834967
S ROBERT HARLA DO,32.429363,-96.858253
"THOMPSON AGRIPLEX, INC.",32.459828,-97.706694
"VICTORY ENTERPRISE HOLDINGS, INC.",32.528131,-96.941652
Colorado Customer Enterprises,32.531252,-84.604369
RUSSELL M PECKHAM DO,32.534637,-94.728554
SOUTHERN MULTIFOODS-TACO,32.540708,-94.349173
Esquer Investments Llc,32.553754,-116.952319
Salcedo Investments Inc,32.556276,-116.944676
Pares Enterprises Llc,32.558228,-116.979122
Jonathan L Smith,32.568945,-117.004662
Pacific Maritime Industries Inc,32.596099,-117.084219
"703 PRODUCTIONS, LLC",32.601392,-96.846295
SHERMAN VII LLC,32.611857,-96.859335
BIG RED AUTO PARTS,32.634489,-97.207287
Nicholas Braun,32.635934,-98.179314
Jaeyoung Kim,32.641815,-117.00975
The Glass Brothers Group Inc,32.650981,-117.050196
GOODMARK CAPITAL GROUP INC,32.651097,-96.550974
Nicholas Smith,32.660974,-92.277639
"CHARLESTON PALMER INVESTMENTS, LLC",32.672646,-97.397371
Manuel Robles,32.700176,-117.079622
Ssa Pacific Inc,32.700272,-117.155375
MCST,32.706581,-97.227494
Tim J Webb,32.706784,-117.039643
"J DARIEN GEORGE, INC.",32.707051,-97.360055
"ALIGN GENERAL INSURANCE AGENCY, LLC",32.708937,-117.155851
Souldriver Lessee Inc,32.709897,-117.158867
"MADIGAN CONSULTING, INC.",32.710113,-117.156877
Charles J Hill,32.710817,-117.162418
Abba Project Management,32.711014,-117.157216
The Road House San Diego Inc,32.711278,-117.160747
Tuna Harbor Dockside Market Llc,32.711472,-117.171993
Tada Development Corporation,32.711634,-117.161021
Abm Parking Services Inc,32.713029,-117.164251
Kaen Enterprises Inc,32.714437,-117.158993
Us International Media Llc,32.715933,-117.160837
Kimpton Hotel & Restaurant Group Llc,32.716312,-117.159974
Ghavana Llc,32.717264,-117.168794
Centernet Search Group Llc,32.717633,-117.159701
Orale Holdings Llc,32.717696,-117.133619
Reservoir Management Group Inc,32.718045,-117.170456
B Street Management Company Inc,32.718086,-117.157911
He Management Inc,32.719194,-117.161748
Exquisite Wellness Services Inc,32.720727,-117.167836
James F Richardson,32.721927,-117.114242
Ballast Point Yacht & Ship Brokerage Inc,32.722225,-117.229455
Erin Rocchio,32.722521,-117.128703
Starboard Works Inc,32.722722,-117.233398
Esa P Portfolio Operating Lessee,32.724103,-117.170912
The Total Office Inc,32.7249,-117.16058
O&z Group,32.724908,-117.169906
Downey Group Cm,32.725115,-117.13142
Key Consulting Services Llc,32.725555,-117.248374
Quest Global Management Llc,32.725689,-117.205623
Goldenhill Technology Advisors Llc,32.726551,-117.159805
"T4 URBAN KITCHEN, INC.",32.731107,-117.15995
San Diego Airlines Consortium Llc,32.731263,-117.203768
9210x Property Management Corporation,32.733294,-117.163298
Pacific Sky L.P.,32.733395,-117.13194
HEELER LEASING INC,32.734801,-102.643778
J J F Management Enterprises Inc,32.738982,-117.161724
Mark E Lanum & Debra S Lanum,32.739339,-117.18086
Robert Goodman,32.739377,-117.095807
Atomic Investments Inc,32.739654,-117.098985
Glorious Properties Inc,32.740883,-117.176267
Caltrop Corporation,32.741968,-117.184402
Fuji Productions Inc,32.743654,-117.158613
Suite Management Services Llc,32.743777,-117.114134
Andrew V Tamez,32.746673,-117.246914
Sarah S Sasser,32.747112,-117.227884
Charles W Geiselman / Jonatha C Gary,32.747567,-117.170407
Management Alternative Solutions Llc,32.747598,-117.118968
Studio 819 University Partners Lp,32.747817,-117.156668
Tudela International Llc,32.747879,-117.174068
HIGGINBOTHAM,32.748002,-97.333431
Michaela Rosdahl,32.748009,-117.165807
Liberty Healthcare Corporation,32.748698,-117.192463
Robin K Nichols,32.749101,-117.194134
Heideh Rivera,32.74913,-117.102892
Physician Partners Management Services Inc,32.750258,-117.160402
Car Wash Management Inc,32.750434,-117.192017
KENT KWIK 318,32.750653,-97.719637
Heather Scott,32.751229,-117.142883
Brian Gardner,32.75163,-117.231103
Associates For Creative Leadership Inc,32.7529,-117.179496
Robert Harvey Iii & Seth Schechter,32.753437,-117.203386
Juanita Deryan,32.753913,-117.228001
CONNER INDUSTRIES,32.755391,-97.365387
Melisa J Farnsworth,32.758018,-117.107
Golden Wave Tours,32.758109,-117.072283
Charles R Holladay,32.758756,-117.18144
Rosanna Harrison,32.758869,-117.115532
Jacobs Project Management Co,32.761455,-117.162179
Cova Management Inc,32.761575,-117.130411
Amerland/hawaiian Gardens Llc,32.762285,-117.144315
ED BELL INVESTMENTS INC,32.767268,-96.777626
Doubletree Management Llc,32.770021,-117.16025
James C Colucci,32.773433,-117.203195
