name,latitude,longitude
HERMANAS CARMELITAS TERESAS DE SAN JO,18.447406,-65.899357
The Pregnancy Center,19.593456,-155.438015
C & C CREATIVE COMPANY LLC,21.298025,-157.839809
WOOD CRISIS CENTER,26.198911,-97.704305
BOCA RATON DEVELOPMENT CORP,26.321025,-80.124632
US LEC OF FLORIDA INC,26.621074,-81.878139
"PREGNANCY SOLUTIONS, INC",27.099576,-82.436416
SAFE PLACE AND RAPE CRISIS CENTER,27.215052,-81.860903
DOMESTIC VIOLENCE 24HR HOT LINE,27.241393,-80.826771
"Safe Place And Rape Crisis Center, In",27.336659,-82.527585
CRISIS PREGNANCY CENTER OF THE TREASU,27.341664,-80.325028
CASTLE TEACHING SAFE PARENTING,27.373653,-80.360696
PROMPT PROFESSIONAL PERFECTION LLC,27.427373,-82.582116
CARE NET MANASOTA CRISIS PREGNANCY CE,27.450242,-82.587276
CASA DE MISERICORDIA,27.510354,-99.486246
EXCHANGE CENTER FOR THE PREVENTION OF CHILD ABUSE,27.587468,-80.376578
CORPUS CHRISTI PREGNANCY RESOURCE CENTER,27.719406,-97.380991
"WALLER EMERGENCY SERVICES, INC",28.029079,-81.957255
PREGNANCY CARE CENTER ZEPHYRHILLS INC,28.244571,-82.180939
PASCO KIDS FIRST INC,28.264559,-82.673504
HELP NOW OF OSCEOLA INC,28.294517,-81.406349
DISASTER RECOVERY ASSISTANCE LLC,28.363413,-81.434218
DAWN CENTER,28.564167,-82.416515
BLG ENVIRONMENTAL LLC,28.704696,-81.366131
Matagorda County Women's Crisis Cente,28.982169,-95.954109
HARRIS COUNSELING SOLUTIONS PLLC,28.983819,-95.973321
"GRUMPY PUPPY RESCUE, INC.",29.118304,-98.890694
EPISCOPAL CHILDRENS SERVICES,29.197401,-82.154591
RESOURCES FOR WOMEN INC,29.200028,-81.016739
Volusia Interfaiths Agencies Networki,29.206472,-81.019092
MEDINA COUNTY FAMILY LIFE CENTER,29.355094,-99.155368
"JOHN'S SHUTTERS & ARAMCO, LLC",29.361476,-95.057412
"SOCIETY OF ST. VINCENT DE PAUL, SOUTHWEST TEXAS CO",29.432888,-98.505912
PREGNANCY CARE CENTER,29.500091,-98.577294
Center For Pregnancy,29.512739,-95.183818
"BE THE CHANGE GLOBAL OUTREACH, INC.",29.518068,-94.993947
Adam Albarran,29.533297,-98.557333
GUADALUPE VALLEY FAMILY VIOLENCE SHELTER INCORPORATED,29.569503,-97.96353
OUTDOOR CHORES,29.59527,-95.181537
SECOND MILE MISSION CENTER,29.600434,-95.515549
GEORGE F PEARSON,29.600501,-95.524139
ISBELL GLOBAL NETWORK LLC,29.649369,-95.171195
"The Bridge Over Troubled Waters, Inc.",29.652472,-95.20602
Community Pregnancy Center of Pasaden,29.658353,-95.178201
MCNEILL RIPPLE,29.690797,-95.379777
SECOND CHANCE FOUNDATION,29.691628,-95.734033
"BANDERA COUNTY HELPING HAND, INC.",29.732011,-99.077692
JAMES W EATON,29.756202,-95.811983
DEGEORGE AT UNION STATION,29.758907,-95.357398
HOUSTON WELCOMES REFUGEES,29.781009,-95.528452
FMR INC,29.83306,-95.395107
RDT INVESTMENTS GROUP LLC,29.83399,-95.434241
"CRRC OF CANYON LAKE, INC.",29.846414,-98.179452
VALRICO VENTURES,29.991139,-93.961222
NORTHEAST MENTAL HEALTH CRISIS CLINIC MEMORIAL HERMANN,29.994429,-95.273861
PRESERVATION OF SOUTH WEST TEXAS WILDLIFE,30.017074,-100.212863
HILL COUNTRY CARES,30.046965,-99.136222
