name,latitude,longitude
ACCOUNTING & GENERAL SERVICE DEPARTMENT,21.09376,-157.02469
ATTORNEY GENERAL'S OFFICE,21.304683,-157.86092
Honolulu Control Facility,21.318885,-157.94113
Lihue Refuse Transfer Station,21.988371,-159.33892
FISHERMANS SEAFOOD,24.566437,-81.729049
MIAMI-DADE COUNTY ELECTIONS PCT 798,25.601026,-80.423933
MIAMI-DADE COUNTY ELECTIONS PCT 792,25.662314,-80.423351
MIAMI-DADE COUNTY ELECTIONS PCT 797,25.698219,-80.456166
MIAMI-DADE COUNTY-LIPTON,25.708754,-80.159952
MIAMI-DADE COUNTY ELECTIONS PCT 461,25.71239,-80.452111
DADE COUNTY UROLOGIST,25.845455,-80.267154
FIVE OCEANS INTERNATIONAL,26.188995,-80.29265
GOLDEN HOME CARE NURSING SERVICES INC,26.216308,-80.207072
Harlingen Tax Office,26.244651,-97.720569
VILLAGE OF ROYAL PALM BEACH,26.697624,-80.240112
PBSO DISTRICT 9,26.705572,-80.2272
ZAPATA CO WCID,26.923302,-99.215337
ST LUCIE HONEY COMPANY,27.28009,-80.293099
CITY OF CORPUS CHRISTI,27.792975,-97.399379
LESLIE PETERS ACADEMY,27.982063,-82.509185
ARANSAS COUNTY VOTER REGISTRATION,28.025699,-97.05533
FL ST PINELLAS CNTY GOVT,28.04113,-82.739727
HILLSBOROUGH COUNTY VETERANS,28.072747,-82.449085
BREVARD COUNTY,28.246068,-80.735786
ORANGE COUNTY PUBLIC WORKS DIVISION,28.499539,-81.420671
SCHOOLS PUBLIC ORANGE CAFETERI,28.524857,-81.433296
GOVERNMENT SERVICES ASSOCIATES,28.570856,-81.369059
311 CENTER,28.582064,-81.294873
WINTER PARK CITY-STORMWATER,28.594707,-81.352455
SCHOOLS PUBLIC SEMINOLE COUNTY,28.703799,-81.418761
JUSTICE OF THE PEACE PRECINT 4,28.711306,-100.49864
SEMINOLE COUNTY PARROT RESCUE,28.736381,-81.132067
LAKE COUNTY CLERK FINANCE DEPARTMENT,28.801804,-81.72965
PEARSALL PUBLIC LIBRARY,28.890808,-99.095455
CITY OF PEARSALL,28.895092,-99.095395
COMMODORE COVE IMPROVEMENT DISTRICT,29.005612,-95.305004
VOLUSIA PLANNING & MONITORING,29.029755,-81.304089
DM TIRES,29.326842,-98.55162
BRAZORIA COUNTY DRAINAGE DISTRICT NO 5,29.351468,-95.449103
FEDERAL PROTECTIVE SERVICES,29.417502,-98.484603
LAVACA COUNTY ATTOURNEY,29.418431,-96.93942
USARC 90TH RSC,29.476532,-98.434431
"BIU CONNECT, LLC",29.494513,-95.096865
GONZALES COUNTY OFFICE,29.50058,-97.452204
BEXAR METROPOLITAN 911 REGIONAL OPERATIONS CENTER,29.583155,-98.578587
TERREBONNE PARISH CONSOLIDATED GOVERNMENT,29.591053,-90.718841
PORT OF HOUSTON AUTHORITY,29.604122,-95.015696
ALACHUA COUNTY-CHECK FRAUD,29.652266,-82.326368
HONORABLE ZINETTA BURNEY,29.696239,-95.335347
SIKA CORPORATION,29.72884,-96.179559
LAFOURCHE PARISH GOVERNME,29.733593,-90.607717
MASON CREEK UTILITY DISTRICT,29.794568,-95.570519
CALDWELL COUNTY JUSTICE OF THE PEACE PRECINCT 4,29.884736,-97.668638
PARISH COUNCILMEN OFFICE,29.916007,-90.068063
NORTHWEST HARRIS COUNTY MUD NO 1,29.924647,-95.487309
HARBOR RIGHT LLC,29.960099,-95.558765
NORTHWEST HARRIS COUNTY MUNICIPAL DISTRICT NO 22,29.98555,-95.477714
WILLIAM A FOSTER III,30.002583,-95.504677
US GOVERNMENT SECRET SERVICE,30.019439,-90.156235
UNION COUNTY SCHOOL BUS GARAGE,30.021552,-82.327891
ESD 11,30.033322,-95.528273
CITY OF BEAUMONT,30.070526,-94.215411
MONTGOMERY COUNTY MUD 48 STP,30.10244,-95.22966
HUB CITY CODE,30.156421,-92.018371
