name,latitude,longitude
TPC GROUP,29.757556,-95.370405
AMERICAN PLANT FOOD CORP,32.813304,-97.323927
AMERICAN PLANT FOOD CORPORATION,33.650236,-95.550281
TPC GROUP INC,29.70182,-95.256095
ITAFOS SERVICES LLC,29.769064,-95.458219
WABASH VALLEY SERVICE CO,38.170921,-87.780467
SF PHOSPHATES CO LTD,41.634515,-109.149045
NU WEST INDUSTRIES,42.735329,-111.543168
WABASH VALLEY SERVICE CO.,38.999273,-87.862256
TPC GROUP LLC,29.70182,-95.256095
"PAUL STAFFEL COMPANY, L.L.C.",29.752169,-98.517364
MID-COAST GRAIN CO.,28.962723,-96.068212
Scotts Miracle-Gro,37.015992,-77.060357
Clayton's Clacium Inc,43.90319,-116.914097
SUL4R-PLUS LLC,38.246025,-85.578778
"WILLARD AGRI-SERVICE OF FREDERICK, INC.",39.411076,-77.402641
Willard Agri Svc,39.411076,-77.402641
"Albion Liquid Products, Inc.",41.115509,-112.026508
Albion Laboratories Inc,41.224026,-111.990548
"Amp Processing, Llc",39.707922,-111.836
HUB CITY ENVIRONMENTAL LLC,33.422221,-112.116817
"TAMPA PORT SERVICES, LLC (TPS)",30.083484,-90.913765
VENABLE SAM,27.631905,-82.529347
CLEAN HARBORS INC,33.422221,-112.116817
WINFIELD UNITED,41.007319,-95.80427
UNITED SUPPLIERS INC,42.324622,-93.109113
"TWIN STATE, INC.",42.730725,-93.230386
"WINFIELD SOLUTIONS, LLC",41.007319,-95.80427
THE MOSAIC COMPANY,32.41219,-103.939713
POTASH CORP OF SASKATCHEWAN INC,30.219428,-91.056408
NUTRIEN LTD,30.219428,-91.056408
VEOLIA ES TECHNICAL SOLUTIONS LLC,33.422221,-112.116817
21940,40.933245,-87.06816
13630,38.683265,-87.426886
"JDCDEVELOPMENT, LLC",27.748513,-81.845452
PINEYPOINT PHOSPHORIC PRODUCTS CO,27.631905,-82.529347
PCS PHOSPHATE CO INC,31.184045,-83.784914
IMC-AGRICO CO.NEW WHALES G.S.C,27.850613,-82.055008
"MOSAIC FERTILIZER, LLC - SOUTH PIERCE CONCENTRATES",27.763679,-81.939096
MOSAIC COMPANY,27.864185,-82.386099
IMC PHOSPHATES COMPANY,27.763679,-81.939096
THE MOSAIC CO,27.850613,-82.055008
MOSAIC PHOSPHATES CO.,27.864185,-82.386099
MOSAIC PHOSPHATES CO,27.850613,-82.055008
MOSAIC FERTILIZER LLC - NEW WALES GYPSUM STACK CLOSURE,27.850613,-82.055008
AFS MIGRATION,44.786217,-93.333539
"MOSAIC FERTILIZER, LLC - RIVERVIEW CHEMICAL PLANT",27.864185,-82.386099
CF INDUSTRIES INCORPORATED,28.168787,-82.141692
CF INDUSTRIES HOLDINGS INC,28.168787,-82.141692
"CF INDUSTRIES, INC - PLANT CITY CHEMICAL PLANT",28.168787,-82.141692
"MOSAIC FERTILIZER, LLC - PLANT CITY OPERATIONS",28.168787,-82.141692
VERNON LLOYD,30.386063,-82.77389
ASMARK INSTITUTE,32.800079,-97.308709
CARGILL FERTILIZER INC,27.909233,-81.794517
