name,latitude,longitude,building_count
"121 NORTH CHURCH STREET, LLC",36.62109,-82.089523,3
"17538 HARMONY CHURCH, LLC",39.098468,-77.612755,1
180 CHURCHILL AVE SATELLITE BEACH LLC,38.758314,-77.067388,3
220 S LITTLE CHURCH LLC,37.205063,-77.442259,3
"2500 CHURCH STREET, LLC",36.835923,-76.126252,1
400 TEMPLE LLC,37.57453,-77.490811,8
"5122 MASSAPONAX CHURCH ROAD, LLC",38.305427,-77.467656,7
"5702 CHURCH ROAD, LLC",37.653,-77.646865,3
6843 CHURCHILL LLC,38.93664,-77.177206,1
725 CHURCH DEVELOPER LLC,37.266024,-79.942799,2
"725 CHURCH HTC, LLC",37.266024,-79.942799,2
725 CHURCH MANAGER LLC,37.266024,-79.942799,2
"843 CHURCH DEVELOPER, LLC",37.266024,-79.942799,2
843 Church Htc Llc,37.266024,-79.942799,2
"843 CHURCH MANAGER, LLC",37.266024,-79.942799,2
901 CHURCH STREET LLC,36.861271,-76.278033,3
"9210 CHURCH STREET, LLC",38.751856,-77.472503,7
A CHURCH IN THE WORLD,38.735001,-77.720895,1
"A WORLD OF CHRISTIANS, INC.",37.306969,-77.409688,1
"ABIDING BRANCH CHRISTIAN MINISTRIES, INC.",36.679767,-78.952947,0
ABINGDON UNITED METHODIST CHURCH,36.711427,-81.973637,5
ABSTRACT WORSHIP LLC,37.343163,-76.74077,1
ABUNDANT LIFE CHRISTIAN CENTER INC.,37.118935,-76.495208,5
ABUNDANT LIFE CHRISTIAN COMMUNITY CENTER,36.800362,-76.315882,1
"ABUNDANT LIFE CHURCH OF CHRIST, INC.",37.572817,-77.381707,4
ABUNDANT LIFE UNITED PENTECOSTAL CHURCH,38.626885,-77.305705,10
ABUNDANT PRAISE MINISTRIES INTERNATIONAL,37.445612,-77.337145,3
ABYSSINIA BAPTIST CHURCH(MISSIONARY),36.987898,-76.415297,8
ACORN CHRISTIAN CHURCH,38.476801,-78.870791,2
"ADATH JESHURUN SYNAGOGUE, INC.",37.087239,-76.49413,3
ADIDAM,47.707284,-122.319652,8
ADULLAM SCHOOL OF DISCIPLESHIP,47.66179,-122.338009,8
ADVENT COMMUNITY CHURCH,37.653069,-77.375393,2
ADVENTIST BRAZILIAN CHURCH,36.847067,-76.12643,1
"ADVENTURES BIBLE CLUB, LLC",36.864124,-77.853768,3
"AGAPE CATHOLIC MINISTRIES, LLC",38.941077,-104.600724,1
"AGAPE CATHOLIC MINISTRIES, LLC",39.083705,-104.576183,
AGAPE CHURCH,38.835785,-77.406228,3
ALEXANDRIA FREE METHODIST CHURCH,38.820924,-77.114076,3
ALFRED STREET BAPTIST CHURCH,38.802391,-77.051239,3
ALL NATIONS CHURCH VA,38.4182,-77.399012,1
ALL NATIONS DREAM CHURCH,38.828629,-77.148828,1
ALL NATIONS WORSHIP ASSEMBLY VIRGINIA,36.758458,-76.185647,0
"ALPHA AND OMEGA CHRISTIAN LEARNING CENTER, INC.",30.763783,-86.591616,0
AMAZING GRACE BAPTIST CHURCH,37.271479,-79.166909,2
AMAZING GRACE SPIRITUAL CENTER,47.63714,-122.321891,7
AMAZING GRACE SPIRITUAL CENTER,47.672939,-122.38242,
AMBASSADORS OF CHRIST MISSIONARY CHURCH,36.788752,-76.367615,4
AMERICAN LUTHERAN MEMORIAL CHURCH IGLESIA LUTERANA CRISTO REY,39.724801,-105.041926,2
AMOS CHAPEL CHURCH OF GOD AND CHRIST INC,28.237702,-82.158641,4
AMY E HOBSON ND PLLC,47.674434,-122.318491,1
ANCHOR BAPTIST CHURCH,36.601835,-82.180352,2
ANDREW CHAPEL UNITED METHODIST CHURCH,38.948279,-77.262101,2
ANGELA GALLEGOS-MACIAS MD,35.01836,-106.714255,0
ANGELDEER CHRISTIAN CENTER & MINISTRIES,37.681405,-77.590581,1
ANOINTED NEW LIFE BAPTIST CHURCH,37.609699,-77.522962,1
ANTIOCH BAPTIST CHURCH,38.472435,-77.9983,2
"ANTIOCH BAPTIST CHURCH OF SANDSTON, INC.",37.512462,-77.244103,1
AP-HIS TEMPLE FITNESS & WELLNESS LLC,38.673086,-77.331589,3
APOSTLES CONTINUATION CHURCH INTERNATIONAL - WOODBRIDGE BRANCH,38.675985,-77.264121,2
"APPOMATTOX CHRISTIAN TRAINING AND ARTS CENTER, LLC",37.282862,-77.320034,0
"ARABIC ASSEMBLY OF GOD VA, LLC",38.928366,-77.530067,2
ARLINGTON ASSEMBLY OF GOD,38.869033,-77.110454,2
ARLINGTON CATHOLIC HERALD INC,38.872144,-77.10364,1
ASBURY CHRISTIAN FELLOWSHIP CHURCH INC.,36.682793,-76.02243,1
"ASCENT CHURCH, INC.",36.910162,-76.074163,1
ASHLEY D MCINTYRE MD,32.380817,-86.175248,1
AT FALLS CHURCH LLC,36.847067,-76.12643,1
B V M QUEEN OF PEACE CATH CHR,41.474715,-75.185158,4
BACKGROUND CHURCH,37.2381,-76.776048,3
BAIM KERI JO,47.560068,-122.385744,1
BALM OF GILEAD MISSIONARY BAPTIST CHURCH CATHEDRAL,36.725171,-76.573939,3
BALM OF GILEAD MISSIONARY BAPTIST CHURCH CHAPEL,36.725171,-76.573939,3
BALM OF GILEAD MISSIONARY BAPTIST CHURCH FOUNDATION,36.725171,-76.573939,3
BALM OF GILEAD MISSIONARY BAPTIST CHURCH TEMPLE,36.725171,-76.573939,3
BANNERS OF CHRISTIANSBURG VA LLC,39.147705,-77.205528,4
