a_uuid,website,category,name,latitude,longitude
cc6d0a3c-0b7b-418d-94b2-f5db4911fb89,thedecorgroup.com,Emergency and other relief services,"""LOOKS GREAT"" SERVICES, INC.",40.869421,-73.434944
06874300-c88a-4f54-8e49-18cafb58da82,thedecorgroup.com,Emergency and other relief services,"""LOOKS GREAT"" SERVICES, INC.",40.869421,-73.434944
cc6d0a3c-0b7b-418d-94b2-f5db4911fb89,looksgreatservices.com,Emergency and other relief services,"""LOOKS GREAT"" SERVICES, INC.",40.869421,-73.434944
06874300-c88a-4f54-8e49-18cafb58da82,looksgreatservices.com,Emergency and other relief services,"""LOOKS GREAT"" SERVICES, INC.",40.869421,-73.434944
f8ebb8a3-ab66-4da4-85c7-e39ad126345a,looksgreatservices.com,Emergency and other relief services,"LOOKS GREAT SERVICES OF MS, INC",31.336568,-89.871243
4082b974-f5d0-4526-a9b3-db120fb6928e,gungirlsgov.com,Emergency and other relief services,"GUN GIRLS, INC.",26.880959,-80.243056
4082b974-f5d0-4526-a9b3-db120fb6928e,gun-girls.com,Emergency and other relief services,"GUN GIRLS, INC.",26.880959,-80.243056
0efe6ca3-6eff-40cb-892b-eb27f08d211f,mjglobal-llc.com,Emergency and other relief services,MJ GLOBAL LLC,25.834895,-80.277151
8b12f356-cbce-4a90-8c04-0eb7869fb3bb,ghn24.com,Emergency and other relief services,"GETHELPNOW, LLC",26.480003,-81.801642
c062849d-9173-48fd-a47e-c0fc8ef8559a,globalrescue.com,Emergency and other relief services,GLOBAL RESCUE LLC,43.637148,-72.23546
ccab9460-7bf0-4eab-bfdf-facc694b3603,globalrescue.com,Emergency and other relief services,GLOBAL RESCUE LLC,43.637433,-72.257456
260267df-4b3c-4362-89e0-3606d2cbb3ef,globalheroproject.org,Emergency and other relief services,"GLOBAL HERO PROJECT, INC.",37.105436,-113.616385
740cd373-553d-4d3c-b583-ac6c360c1b14,makwaglobal.com,Emergency and other relief services,"MAKWA GLOBAL HEALTH SOLUTIONS, LLC",44.966162,-93.345727
8bfb33b9-260e-44eb-b141-e0b5784443d8,globalgrantservices.com,Emergency and other relief services,GLOBAL GRANT SERVICES,37.964711,-121.296632
80268cb7-ee7f-47c8-9028-b82aceb12dac,globalgo.com,Emergency and other relief services,"Global Go, LLC",38.897608,-77.071197
dde818d9-daad-41a0-b3c1-59149628ac8a,globalgo.com,Emergency and other relief services,"Global Go, LLC",26.119499,-80.138179
b1b0f9ea-7c21-4cab-9696-b6cbe1bcd9fe,globalgo.com,Emergency and other relief services,"Global Go, LLC",26.119499,-80.138179
25eaa52a-8150-4c94-92a8-eb36741e55cd,goldenrainbow.org,Emergency and other relief services,"GOLDEN RAINBOW OF NEVADA, INC.",36.144912,-115.145289
fdaf7051-74b2-4909-bdfc-58039df7f7f0,geoshelters.com,Emergency and other relief services,GEO SHELTERS INTERNATIONAL LLC,40.157217,-111.649479
d5a7e4a4-4e98-46fd-a338-b543bb3192ba,mimsfoundation.org,Emergency and other relief services,"MIKE MIMS FOUNDATION INCORPORATED, THE",30.194818,-81.382512
7bba695f-8209-4f96-8068-8467579b6708,americorps-stl.org,Emergency and other relief services,"PARTNERSHIP FOR YOUTH, INC.",38.607514,-90.211708
fff06c40-8677-4a3a-8a50-b041d8d84872,americorps-stl.org,Emergency and other relief services,"PARTNERSHIP FOR YOUTH, INC.",38.607514,-90.211708
95f00832-ef0c-474e-9a1a-e13997daed0e,dkiservices.com,Emergency and other relief services,"FRONTIER SERVICES GROUP, LLC",29.856864,-95.565448
95f00832-ef0c-474e-9a1a-e13997daed0e,frontiergp.com,Emergency and other relief services,"FRONTIER SERVICES GROUP, LLC",29.856864,-95.565448
630a2959-7c79-43ce-b209-2e51c5c76142,hemaint.org,Emergency and other relief services,"HEMA INTERNATIONAL FOUNDATION , INC.",40.758773,-74.16916
407f98de-3a81-41be-980c-a653b6e94d81,shelter.org,Emergency and other relief services,"Shelter For Life International, Inc.",39.111545,-77.563319
bab7f651-0188-4f58-a269-6351b1e71660,shelter.org,Emergency and other relief services,"Shelter For Life International, Inc.",44.952763,-93.43723
11f0d601-3eb2-4e3f-9971-eca79a09c03c,shelter.org,Emergency and other relief services,"Shelter For Life International, Inc.",44.972171,-93.408719
30fc7242-2494-46bd-a04e-277137a0fb7d,shelter.org,Emergency and other relief services,"Shelter For Life International, Inc.",44.972171,-93.408719
6cc0d3d1-97be-4d05-afab-7d8b97583dfd,fixednc.com,Emergency and other relief services,FIXED-NC LLC,35.580444,-77.392609
cdd549c9-15a5-4dff-926b-80116ca54581,fixednc.com,Emergency and other relief services,FIXED-NC LLC,35.56551,-77.357134
22c6d4d2-e718-40b1-9109-874bb92b0b1b,thefrewgroup.com,Emergency and other relief services,"FREW, SUZANNE",37.891832,-122.290368
33dfd8b4-211f-47fb-a293-c18345e91c8c,thefreedomproject-tfp.org,Emergency and other relief services,"FREEDOM PROJECT, INC., THE",33.621945,-84.000761
87667c17-9f0a-411d-91e2-5c927d3e2d99,rtfops.com,Emergency and other relief services,RESCUE TASK FORCE LLC,41.054015,-80.622501
83ef6e2b-525f-474e-9a90-8a38bcf8dddf,foxholelogistics.com,Emergency and other relief services,"FOXHOLE LOGISTICS, L.L.C.",35.510948,-97.534937
ed6b7094-b1aa-404a-9997-1392c7adbb6b,firewater.us,Emergency and other relief services,"FIREWATER, LLC",32.031617,-102.148384
526f6a43-c993-40f1-91fe-5a49f41c6191,firesideteam.com,Emergency and other relief services,FIRESIDE PARTNERS INC,39.144694,-75.471274
bf419371-070e-4dd0-8200-355f60cddb21,firesideteam.com,Emergency and other relief services,FIRESIDE PARTNERS INC,39.144694,-75.471274
ad62588f-9f19-4b86-8e06-d59c4ca881c8,westernfireresources.com,Emergency and other relief services,WESTERN FIRE RESOURCES LLC,43.37002,-112.123217
12e095de-8ef3-4c49-bb56-b72265aaba4a,fundacionjedagroup.org,Emergency and other relief services,FUNDACION JEDA GROUP INC.,17.983391,-66.621945
935b3218-26e9-4bc8-b710-ff4a7dcb7fb3,foodforthepoor.com,Emergency and other relief services,"FOOD FOR THE POOR, INC.",41.585987,-93.659723
f5d794b6-62e1-4f83-b254-465727b048f1,foodforthepoor.com,Emergency and other relief services,"FOOD FOR THE POOR, INC.",26.308099,-80.187301
935b3218-26e9-4bc8-b710-ff4a7dcb7fb3,foodforthepoor.org,Emergency and other relief services,"FOOD FOR THE POOR, INC.",41.585987,-93.659723
